,Run,Body_Site
500,SRR2135314,Stomach
503,SRR2135317,Liver
504,SRR2135318,Pancreas
509,SRR2135323,Stomach
519,SRR2135333,Brain - Frontal Cortex (BA9)
534,SRR2135349,Liver
541,SRR2135356,Brain - Cortex
543,SRR2135358,Brain - Frontal Cortex (BA9)
550,SRR2135365,Liver
551,SRR2135366,Liver
558,SRR2135373,Stomach
565,SRR2135380,Liver
568,SRR2135383,Pancreas
569,SRR2135384,Stomach
570,SRR2135385,Stomach
572,SRR2135387,Liver
573,SRR2135388,Pancreas
596,SRR2135412,Stomach
602,SRR1499675,Liver
648,SRR1500661,Liver
657,SRR1500868,Brain - Frontal Cortex (BA9)
674,SRR2135288,Pancreas
681,SRR2135295,Stomach
682,SRR2135296,Pancreas
698,SRR2135312,Pancreas
713,SRR1490404,Pancreas
720,SRR1490546,Liver
739,SRR1498249,Stomach
753,SRR1498550,Brain - Frontal Cortex (BA9)
767,SRR1498861,Brain - Cortex
775,SRR1499040,Liver
780,SRR1499193,Brain - Cortex
789,SRR1499395,Liver
800,SRR1487890,Liver
833,SRR1488651,Brain - Frontal Cortex (BA9)
834,SRR1488672,Brain - Cortex
840,SRR1488790,Liver
855,SRR1489137,Brain - Cortex
871,SRR1489502,Brain - Cortex
883,SRR1489757,Liver
895,SRR1490019,Brain - Cortex
919,SRR1486097,Brain - Cortex
968,SRR1487194,Brain - Frontal Cortex (BA9)
990,SRR1487685,Brain - Frontal Cortex (BA9)
994,SRR1487764,Pancreas
995,SRR1487784,Pancreas
999,SRR1487867,Stomach
1007,SRR1480059,Brain - Cortex
1011,SRR1480153,Stomach
1020,SRR1480347,Pancreas
1049,SRR1480988,Brain - Cortex
1056,SRR1481146,Pancreas
1088,SRR1485438,Liver
1089,SRR1485459,Brain - Frontal Cortex (BA9)
1120,SRR1478113,Liver
1143,SRR1478637,Liver
1149,SRR1478768,Brain - Cortex
1150,SRR1478789,Liver
1153,SRR1478855,Stomach
1154,SRR1478878,Stomach
1178,SRR1479431,Stomach
1181,SRR1479489,Liver
1204,SRR1475633,Stomach
1233,SRR1476255,Stomach
1244,SRR1476485,Liver
1248,SRR1476571,Brain - Frontal Cortex (BA9)
1257,SRR1476760,Stomach
1274,SRR1477125,Stomach
1302,SRR1473385,Stomach
1316,SRR1473674,Liver
1349,SRR1474396,Stomach
1351,SRR1474440,Stomach
1356,SRR1474553,Brain - Frontal Cortex (BA9)
1364,SRR1474777,Brain - Frontal Cortex (BA9)
1370,SRR1474908,Pancreas
1372,SRR1474951,Brain - Cortex
1380,SRR1475128,Pancreas
1382,SRR1475168,Brain - Cortex
1428,SRR1471690,Stomach
1434,SRR1471817,Brain - Frontal Cortex (BA9)
1440,SRR1471943,Brain - Frontal Cortex (BA9)
1443,SRR1472012,Liver
1473,SRR1472728,Pancreas
1485,SRR1473016,Stomach
1497,SRR1473275,Liver
1501,SRR1468931,Pancreas
1502,SRR1468955,Brain - Frontal Cortex (BA9)
1545,SRR1469904,Brain - Cortex
1558,SRR1470175,Brain - Cortex
1581,SRR1470665,Stomach
1585,SRR1470751,Liver
1603,SRR1466728,Stomach
1616,SRR1466993,Brain - Cortex
1647,SRR1467680,Stomach
1661,SRR1468028,Stomach
1673,SRR1468314,Liver
1681,SRR1468514,Brain - Frontal Cortex (BA9)
1694,SRR1468787,Pancreas
1695,SRR1468804,Stomach
1709,SRR1464724,Pancreas
1725,SRR1465064,Stomach
1752,SRR1465632,Brain - Cortex
1754,SRR1465674,Pancreas
1765,SRR1465917,Brain - Cortex
1784,SRR1466321,Pancreas
1792,SRR1466490,Stomach
1811,SRR1458789,Stomach
1821,SRR1458992,Pancreas
1840,SRR1459441,Brain - Cortex
1854,SRR1459761,Stomach
1856,SRR1459804,Brain - Cortex
1860,SRR1459889,Stomach
1886,SRR1464226,Pancreas
1892,SRR1464373,Brain - Frontal Cortex (BA9)
1896,SRR1464451,Brain - Cortex
1950,SRR1457437,Stomach
1952,SRR1457482,Brain - Frontal Cortex (BA9)
1953,SRR1457503,Brain - Frontal Cortex (BA9)
1961,SRR1457682,Pancreas
1963,SRR1457727,Pancreas
1996,SRR1458465,Stomach
2007,SRR1454289,Pancreas
2030,SRR1454803,Brain - Frontal Cortex (BA9)
2055,SRR1455369,Brain - Cortex
2064,SRR1455565,Stomach
2067,SRR1455631,Pancreas
2068,SRR1455653,Liver
2074,SRR1455783,Pancreas
2079,SRR1455878,Liver
2081,SRR1455925,Brain - Frontal Cortex (BA9)
2087,SRR1456051,Liver
2116,SRR1452292,Brain - Cortex
2128,SRR1452556,Pancreas
2150,SRR1453047,Pancreas
2161,SRR1453277,Pancreas
2163,SRR1453341,Brain - Frontal Cortex (BA9)
2174,SRR1453591,Stomach
2179,SRR1453702,Brain - Cortex
2185,SRR1453831,Stomach
2186,SRR1453851,Brain - Frontal Cortex (BA9)
2188,SRR1453893,Pancreas
2193,SRR1453991,Pancreas
2224,SRR1446806,Pancreas
2232,SRR1446979,Stomach
2233,SRR1446996,Stomach
2239,SRR1447124,Stomach
2252,SRR1447416,Stomach
2258,SRR1447547,Liver
2264,SRR1447693,Brain - Frontal Cortex (BA9)
2267,SRR1447760,Pancreas
2316,SRR1444460,Brain - Cortex
2322,SRR1444580,Brain - Cortex
2324,SRR1444622,Brain - Frontal Cortex (BA9)
2327,SRR1444678,Brain - Frontal Cortex (BA9)
2349,SRR1445149,Brain - Cortex
2352,SRR1445218,Liver
2364,SRR1445468,Stomach
2386,SRR1445939,Pancreas
2387,SRR1445960,Pancreas
2398,SRR1446203,Liver
2406,SRR1442127,Pancreas
2427,SRR1442571,Brain - Frontal Cortex (BA9)
2477,SRR1443633,Pancreas
2483,SRR1443755,Stomach
2484,SRR1443776,Liver
2498,SRR1444083,Liver
2503,SRR1439873,Brain - Frontal Cortex (BA9)
