,Entrez_Gene_Id,counts,Perc_Bi_Allelic,Density
0,4585.0,26.0,0.0,234.3
1,85319.0,13.0,0.0,0.2
2,8314.0,13.0,0.0,
3,55193.0,11.0,0.0,
4,56776.0,10.0,0.0,292.2
5,7273.0,9.0,0.0,1011.3
6,7157.0,8.0,0.0,1549.5
7,727897.0,8.0,0.0,
8,400986.0,7.0,0.0,
9,3064.0,7.0,0.0,886.6
10,23049.0,7.0,0.0,662.6
11,3417.0,7.0,0.0,
12,4513.0,7.0,0.0,
13,84059.0,7.0,0.0,171.1
14,9554.0,6.0,0.0,
15,1767.0,6.0,0.0,610.5
16,2874.0,6.0,0.0,
17,23637.0,6.0,0.0,
18,8289.0,6.0,0.0,
19,94025.0,6.0,0.0,14.2
20,170685.0,6.0,0.0,
21,58508.0,6.0,0.0,105.7
22,3709.0,6.0,0.0,1229.1
23,388468.0,6.0,0.0,
24,213.0,5.0,0.0,322.1
25,4512.0,5.0,0.0,
26,8777.0,5.0,0.0,473.3
27,1969.0,5.0,0.0,
28,51585.0,5.0,0.0,
29,2201.0,5.0,0.0,256.0
30,114780.0,5.0,0.0,163.1
31,4300.0,5.0,0.0,411.1
32,84162.0,5.0,0.0,
33,6261.0,5.0,0.0,559.8
34,121256.0,5.0,0.0,
35,4076.0,5.0,0.0,
36,100132406.0,5.0,0.0,
37,2263.0,5.0,0.0,1214.0
38,375616.0,4.0,0.0,
39,57451.0,4.0,0.0,21.0
40,338.0,4.0,0.0,1177.0
41,7179.0,4.0,0.0,
42,51540.0,4.0,0.0,
43,286.0,4.0,0.0,437.9
44,26579.0,4.0,0.0,
45,5255.0,4.0,0.0,337.2
46,1643.0,4.0,0.0,
47,55781.0,4.0,0.0,1065.4
48,375449.0,4.0,0.0,131.4
49,4519.0,4.0,0.0,
50,53834.0,4.0,0.0,
51,23095.0,4.0,0.0,695.2
52,8563.0,4.0,0.0,250.5
53,8736.0,4.0,0.0,104.5
54,8545.0,4.0,0.0,
55,23357.0,4.0,0.0,
56,4478.0,4.0,0.0,
57,27445.0,4.0,0.0,
58,8467.0,4.0,0.0,1243.6
59,11085.0,4.0,0.0,
60,1663.0,4.0,0.0,761.0
61,4811.0,4.0,0.0,
62,6712.0,4.0,0.0,521.1
63,472.0,4.0,0.0,804.8
64,79026.0,4.0,0.0,344.8
65,154664.0,4.0,0.0,0.1
66,10307.0,4.0,0.0,
67,9500.0,4.0,0.0,530.4
68,777.0,4.0,0.0,972.9
69,4040.0,4.0,0.0,
70,3909.0,4.0,0.0,401.2
71,163227.0,4.0,0.0,
72,57448.0,4.0,0.0,386.3
73,51050.0,4.0,0.0,
74,1769.0,4.0,0.0,39.8
75,1999.0,4.0,0.0,
76,4100.0,4.0,0.0,158.7
77,197131.0,4.0,0.0,586.6
78,127731.0,4.0,0.0,
79,2195.0,4.0,0.0,582.5
80,2898.0,4.0,0.0,
81,8239.0,4.0,0.0,458.2
82,607.0,4.0,0.0,409.3
83,25850.0,4.0,0.0,
84,91584.0,4.0,0.0,76.8
85,9790.0,4.0,0.0,993.5
86,4882.0,3.0,0.0,
87,778.0,3.0,0.0,
88,54880.0,3.0,0.0,326.1
89,55578.0,3.0,0.0,131.0
90,4916.0,3.0,0.0,
91,4920.0,3.0,0.0,
92,26060.0,3.0,0.0,
93,8495.0,3.0,0.0,
94,8715.0,3.0,0.0,
95,203054.0,3.0,0.0,
96,1129.0,3.0,0.0,
97,9909.0,3.0,0.0,
98,2734.0,3.0,0.0,261.9
99,1496.0,3.0,0.0,673.0
100,55636.0,3.0,0.0,
101,1612.0,3.0,0.0,698.7
102,55917.0,3.0,0.0,
103,7791.0,3.0,0.0,
104,375248.0,3.0,0.0,41.0
105,22936.0,3.0,0.0,
106,6550.0,3.0,0.0,
107,84364.0,3.0,0.0,
108,9947.0,3.0,0.0,126.4
109,79572.0,3.0,0.0,
110,25925.0,3.0,0.0,
111,718.0,3.0,0.0,372.1
112,118427.0,3.0,0.0,
113,5727.0,3.0,0.0,1078.3
114,54768.0,3.0,0.0,
115,29015.0,3.0,0.0,
116,10580.0,3.0,0.0,
117,285175.0,3.0,0.0,
118,54537.0,3.0,0.0,333.5
119,9877.0,3.0,0.0,785.2
120,4541.0,3.0,0.0,
121,9817.0,3.0,0.0,258.9
122,9230.0,3.0,0.0,
123,126206.0,3.0,0.0,49.2
124,254065.0,3.0,0.0,
125,169044.0,3.0,0.0,
126,64843.0,3.0,0.0,
127,221037.0,3.0,0.0,879.9
128,3155.0,3.0,0.0,
129,286262.0,3.0,0.0,
130,5936.0,3.0,0.0,
131,126205.0,3.0,0.0,49.7
132,2064.0,3.0,0.0,
133,124602.0,3.0,0.0,404.0
134,161436.0,3.0,0.0,
135,5290.0,3.0,0.0,1035.3
136,7343.0,3.0,0.0,
137,389690.0,3.0,0.0,
138,3326.0,3.0,0.0,
139,6334.0,3.0,0.0,
140,7511.0,3.0,0.0,
141,7738.0,3.0,0.0,
142,93035.0,3.0,0.0,291.8
143,80230.0,3.0,0.0,
144,10178.0,3.0,0.0,58.7
145,23451.0,3.0,0.0,1268.9
146,4311.0,3.0,0.0,
147,91894.0,3.0,0.0,
148,1794.0,3.0,0.0,1021.1
149,7450.0,3.0,0.0,685.6
150,23499.0,3.0,0.0,993.0
151,3845.0,3.0,0.0,1794.8
152,9618.0,3.0,0.0,
153,116986.0,3.0,0.0,
154,4301.0,3.0,0.0,778.7
155,125931.0,3.0,0.0,
156,1012.0,3.0,0.0,
157,65980.0,3.0,0.0,
158,1289.0,3.0,0.0,620.9
159,23503.0,3.0,0.0,44.0
160,3667.0,3.0,0.0,988.3
161,84033.0,3.0,0.0,189.8
162,23304.0,3.0,0.0,
163,63827.0,3.0,0.0,
164,4683.0,3.0,0.0,621.8
165,84467.0,3.0,0.0,114.9
166,6299.0,3.0,0.0,702.5
167,7837.0,3.0,0.0,
168,414189.0,3.0,0.0,
169,4649.0,3.0,0.0,1093.4
170,7048.0,3.0,0.0,
171,10347.0,3.0,0.0,23.3
172,79990.0,3.0,0.0,134.6
173,440435.0,3.0,0.0,83.7
174,8867.0,3.0,0.0,
175,186.0,3.0,0.0,
