,Entrez_Gene_Id,counts,Perc_Bi_Allelic
0,0,145,1.0
1,56097,31,1.0
2,7273,27,1.0
3,403340,22,1.0
4,8085,18,1.0
5,644316,17,1.0
6,149992,15,1.0
7,284802,14,1.0
8,4585,13,1.0
9,51585,13,1.0
10,10847,13,1.0
11,83992,13,1.0
12,94025,12,1.0
13,2261,12,1.0
14,23499,12,1.0
15,57634,12,1.0
16,4233,11,1.0
17,23049,11,1.0
18,389763,11,1.0
19,84809,11,1.0
20,2195,11,1.0
21,23524,10,1.0
22,6046,10,1.0
23,284124,10,1.0
24,56134,10,1.0
25,100132406,10,1.0
26,64847,10,1.0
27,100233156,10,1.0
28,26058,9,1.0
29,9860,9,1.0
30,3693,9,1.0
31,8029,9,1.0
32,476,9,1.0
33,11209,9,1.0
34,730051,9,1.0
35,23345,9,1.0
36,4703,9,1.0
37,10735,9,1.0
38,9620,8,1.0
39,100133050,8,1.0
40,4771,8,1.0
41,55672,8,1.0
42,81669,8,1.0
43,9857,8,1.0
44,58508,8,1.0
45,9705,8,1.0
46,84162,8,1.0
47,4645,7,1.0
48,140453,7,1.0
49,2033,7,1.0
50,23140,7,1.0
51,987,7,1.0
52,481,7,1.0
53,7455,7,1.0
54,463,7,1.0
55,29072,7,1.0
56,23277,7,1.0
57,23312,7,1.0
58,57591,7,1.0
59,25832,7,1.0
60,84074,7,1.0
61,131873,7,1.0
62,56265,7,1.0
63,7204,7,1.0
64,8972,7,1.0
65,5930,7,1.0
66,650368,7,1.0
67,7179,6,1.0
68,375611,6,1.0
69,64283,6,1.0
70,27445,6,1.0
71,1999,6,1.0
72,57448,6,1.0
73,23215,6,1.0
74,10721,6,1.0
75,7155,6,1.0
76,6263,6,1.0
77,202333,6,1.0
78,23523,6,1.0
79,6597,6,1.0
80,441430,6,1.0
81,5314,6,1.0
82,4968,6,1.0
83,7403,6,1.0
84,5649,6,1.0
85,11223,6,1.0
86,55784,6,1.0
87,6098,6,1.0
88,9794,6,1.0
89,57169,6,1.0
90,202,6,1.0
91,284100,6,1.0
92,140690,6,1.0
93,64881,6,1.0
94,6261,6,1.0
95,2051,6,1.0
96,4040,6,1.0
97,7184,6,1.0
98,473,6,1.0
99,4625,6,1.0
100,8735,6,1.0
101,4649,6,1.0
102,635,6,1.0
103,667,6,1.0
104,64324,6,1.0
105,6945,6,1.0
106,154664,6,1.0
107,4892,6,1.0
108,57479,6,1.0
109,9700,6,1.0
110,9169,6,1.0
111,8452,6,1.0
112,126353,6,1.0
113,3860,6,1.0
114,7399,6,1.0
115,8857,6,1.0
116,159963,6,1.0
117,9681,6,1.0
118,4036,6,1.0
119,9328,6,1.0
120,10869,6,1.0
121,24,6,1.0
122,29123,6,1.0
123,4437,5,1.0
124,653113,5,1.0
125,57175,5,1.0
126,1062,5,1.0
127,1636,5,1.0
128,408,5,1.0
129,5803,5,1.0
130,27030,5,1.0
131,51422,5,1.0
132,80351,5,1.0
133,51512,5,1.0
134,124565,5,1.0
135,374650,5,1.0
136,80204,5,1.0
137,84626,5,1.0
138,5704,5,1.0
139,2998,5,1.0
140,27294,5,1.0
141,23224,5,1.0
142,2161,5,1.0
143,7157,5,1.0
144,6904,5,1.0
145,5527,5,1.0
146,677,5,1.0
147,8999,5,1.0
148,79987,5,1.0
149,163175,5,1.0
150,57194,5,1.0
151,7249,5,1.0
152,23198,5,1.0
153,8314,5,1.0
154,10446,5,1.0
155,9014,5,1.0
156,65121,5,1.0
157,27107,5,1.0
158,4583,5,1.0
159,54832,5,1.0
160,158160,5,1.0
161,653240,5,1.0
162,220001,5,1.0
