,Entrez_Gene_Id,counts,Perc_Bi_Allelic,Density
0,0.0,145.0,1.0,
1,56097.0,31.0,1.0,
2,7273.0,27.0,1.0,1011.3
3,403340.0,22.0,1.0,
4,8085.0,18.0,1.0,
5,644316.0,17.0,1.0,
6,149992.0,15.0,1.0,
7,284802.0,14.0,1.0,111.8
8,4585.0,13.0,1.0,234.3
9,51585.0,13.0,1.0,
10,10847.0,13.0,1.0,786.8
11,83992.0,13.0,1.0,84.3
12,94025.0,12.0,1.0,14.2
13,2261.0,12.0,1.0,
14,23499.0,12.0,1.0,993.0
15,57634.0,12.0,1.0,396.3
16,4233.0,11.0,1.0,1044.8
17,23049.0,11.0,1.0,662.6
18,389763.0,11.0,1.0,
19,84809.0,11.0,1.0,
20,2195.0,11.0,1.0,582.5
21,23524.0,10.0,1.0,659.3
22,6046.0,10.0,1.0,878.2
23,284124.0,10.0,1.0,
24,56134.0,10.0,1.0,
25,100132406.0,10.0,1.0,
26,64847.0,10.0,1.0,
27,100233156.0,10.0,1.0,
28,26058.0,9.0,1.0,574.7
29,9860.0,9.0,1.0,
30,3693.0,9.0,1.0,
31,8029.0,9.0,1.0,868.7
32,476.0,9.0,1.0,1290.7
33,11209.0,9.0,1.0,
34,730051.0,9.0,1.0,
35,23345.0,9.0,1.0,399.9
36,4703.0,9.0,1.0,140.6
37,10735.0,9.0,1.0,
38,9620.0,8.0,1.0,
39,100133050.0,8.0,1.0,
40,4771.0,8.0,1.0,
41,55672.0,8.0,1.0,
42,81669.0,8.0,1.0,
43,9857.0,8.0,1.0,180.8
44,58508.0,8.0,1.0,105.7
45,9705.0,8.0,1.0,272.5
46,84162.0,8.0,1.0,
47,4645.0,7.0,1.0,400.2
48,140453.0,7.0,1.0,100.3
49,2033.0,7.0,1.0,1590.7
50,23140.0,7.0,1.0,183.5
51,987.0,7.0,1.0,
52,481.0,7.0,1.0,
53,7455.0,7.0,1.0,179.5
54,463.0,7.0,1.0,679.4
55,29072.0,7.0,1.0,791.7
56,23277.0,7.0,1.0,
57,23312.0,7.0,1.0,441.1
58,57591.0,7.0,1.0,366.8
59,25832.0,7.0,1.0,
60,84074.0,7.0,1.0,104.5
61,131873.0,7.0,1.0,
62,56265.0,7.0,1.0,
63,7204.0,7.0,1.0,1171.9
64,8972.0,7.0,1.0,180.9
65,5930.0,7.0,1.0,755.5
66,650368.0,7.0,1.0,
67,7179.0,6.0,1.0,
68,375611.0,6.0,1.0,
69,64283.0,6.0,1.0,
70,27445.0,6.0,1.0,
71,1999.0,6.0,1.0,
72,57448.0,6.0,1.0,386.3
73,23215.0,6.0,1.0,
74,10721.0,6.0,1.0,
75,7155.0,6.0,1.0,
76,6263.0,6.0,1.0,249.4
77,202333.0,6.0,1.0,6.8
78,23523.0,6.0,1.0,284.2
79,6597.0,6.0,1.0,1713.3
80,441430.0,6.0,1.0,
81,5314.0,6.0,1.0,319.2
82,4968.0,6.0,1.0,
83,7403.0,6.0,1.0,1056.3
84,5649.0,6.0,1.0,156.9
85,11223.0,6.0,1.0,
86,55784.0,6.0,1.0,7.2
87,6098.0,6.0,1.0,1221.6
88,9794.0,6.0,1.0,202.9
89,57169.0,6.0,1.0,
90,202.0,6.0,1.0,473.7
91,284100.0,6.0,1.0,
92,140690.0,6.0,1.0,347.3
93,64881.0,6.0,1.0,
94,6261.0,6.0,1.0,559.8
95,2051.0,6.0,1.0,1035.8
96,4040.0,6.0,1.0,
97,7184.0,6.0,1.0,
98,473.0,6.0,1.0,836.0
99,4625.0,6.0,1.0,1167.3
100,8735.0,6.0,1.0,1014.6
101,4649.0,6.0,1.0,1093.4
102,635.0,6.0,1.0,
103,667.0,6.0,1.0,707.0
104,64324.0,6.0,1.0,320.2
105,6945.0,6.0,1.0,
106,154664.0,6.0,1.0,0.1
107,4892.0,6.0,1.0,187.7
108,57479.0,6.0,1.0,
109,9700.0,6.0,1.0,781.1
110,9169.0,6.0,1.0,
111,8452.0,6.0,1.0,
112,126353.0,6.0,1.0,
113,3860.0,6.0,1.0,
114,7399.0,6.0,1.0,172.6
115,8857.0,6.0,1.0,426.6
116,159963.0,6.0,1.0,
117,9681.0,6.0,1.0,521.0
118,4036.0,6.0,1.0,908.7
119,9328.0,6.0,1.0,
120,10869.0,6.0,1.0,
121,24.0,6.0,1.0,146.7
122,29123.0,6.0,1.0,443.0
123,4437.0,5.0,1.0,
124,653113.0,5.0,1.0,
125,57175.0,5.0,1.0,
126,1062.0,5.0,1.0,
127,1636.0,5.0,1.0,
128,408.0,5.0,1.0,
129,5803.0,5.0,1.0,488.1
130,27030.0,5.0,1.0,433.6
131,51422.0,5.0,1.0,
132,80351.0,5.0,1.0,
133,51512.0,5.0,1.0,
134,124565.0,5.0,1.0,
135,374650.0,5.0,1.0,
136,80204.0,5.0,1.0,743.1
137,84626.0,5.0,1.0,
138,5704.0,5.0,1.0,
139,2998.0,5.0,1.0,567.2
140,27294.0,5.0,1.0,
141,23224.0,5.0,1.0,285.0
142,2161.0,5.0,1.0,
143,7157.0,5.0,1.0,1549.5
144,6904.0,5.0,1.0,
145,5527.0,5.0,1.0,
146,677.0,5.0,1.0,
147,8999.0,5.0,1.0,
148,79987.0,5.0,1.0,608.8
149,163175.0,5.0,1.0,
150,57194.0,5.0,1.0,232.2
151,7249.0,5.0,1.0,
152,23198.0,5.0,1.0,
153,8314.0,5.0,1.0,
154,10446.0,5.0,1.0,
155,9014.0,5.0,1.0,
156,65121.0,5.0,1.0,
157,27107.0,5.0,1.0,
158,4583.0,5.0,1.0,985.7
159,54832.0,5.0,1.0,490.2
160,158160.0,5.0,1.0,
161,653240.0,5.0,1.0,
162,220001.0,5.0,1.0,
163,113146.0,5.0,1.0,
164,84064.0,5.0,1.0,
165,91860.0,5.0,1.0,
166,7057.0,5.0,1.0,
167,5296.0,5.0,1.0,
168,6526.0,5.0,1.0,
169,23072.0,5.0,1.0,
170,2324.0,5.0,1.0,1007.2
171,2046.0,5.0,1.0,
172,90381.0,5.0,1.0,
173,114783.0,5.0,1.0,200.6
174,2312.0,5.0,1.0,135.1
175,3645.0,5.0,1.0,1309.7
176,51268.0,5.0,1.0,
177,57670.0,5.0,1.0,
178,8289.0,5.0,1.0,
179,338.0,5.0,1.0,1177.0
180,1938.0,5.0,1.0,
181,4647.0,5.0,1.0,835.1
182,219429.0,5.0,1.0,
183,55870.0,5.0,1.0,354.3
184,60626.0,5.0,1.0,
185,394263.0,5.0,1.0,
186,285527.0,5.0,1.0,135.1
187,1826.0,5.0,1.0,304.3
188,1293.0,5.0,1.0,954.6
189,9611.0,5.0,1.0,659.6
190,7306.0,5.0,1.0,
191,170691.0,5.0,1.0,
192,191585.0,5.0,1.0,
193,51059.0,5.0,1.0,118.8
194,9020.0,5.0,1.0,
195,7364.0,5.0,1.0,567.3
196,55852.0,5.0,1.0,
197,23363.0,5.0,1.0,
198,23037.0,5.0,1.0,79.8
199,60.0,5.0,1.0,
200,144406.0,5.0,1.0,
201,7011.0,5.0,1.0,242.2
202,23175.0,5.0,1.0,
203,22981.0,5.0,1.0,350.3
204,22997.0,5.0,1.0,
205,54879.0,5.0,1.0,
206,64123.0,5.0,1.0,
207,730092.0,5.0,1.0,
208,22874.0,5.0,1.0,
209,2696.0,5.0,1.0,
210,84181.0,5.0,1.0,629.4
211,7391.0,5.0,1.0,
212,1308.0,5.0,1.0,
213,8672.0,5.0,1.0,
214,54510.0,5.0,1.0,
215,5550.0,5.0,1.0,
216,440081.0,5.0,1.0,
217,124245.0,5.0,1.0,
218,2912.0,5.0,1.0,245.8
219,54798.0,5.0,1.0,
220,6651.0,5.0,1.0,
221,9736.0,5.0,1.0,535.8
222,9037.0,5.0,1.0,342.9
223,5330.0,5.0,1.0,
224,6908.0,5.0,1.0,1513.1
225,10989.0,5.0,1.0,
226,3581.0,5.0,1.0,
227,140685.0,5.0,1.0,
228,26037.0,5.0,1.0,
229,3416.0,5.0,1.0,
230,3714.0,5.0,1.0,
231,9967.0,5.0,1.0,
232,221400.0,4.0,1.0,
233,3064.0,4.0,1.0,886.6
234,9213.0,4.0,1.0,391.2
235,3120.0,4.0,1.0,834.6
236,6641.0,4.0,1.0,
237,199692.0,4.0,1.0,
238,8633.0,4.0,1.0,
239,1105.0,4.0,1.0,
240,7145.0,4.0,1.0,320.5
241,6601.0,4.0,1.0,1424.5
242,25809.0,4.0,1.0,
243,10631.0,4.0,1.0,
244,5091.0,4.0,1.0,781.2
245,338674.0,4.0,1.0,5.5
246,22889.0,4.0,1.0,
247,205717.0,4.0,1.0,383.0
248,84678.0,4.0,1.0,252.4
249,84795.0,4.0,1.0,
250,6598.0,4.0,1.0,
251,23062.0,4.0,1.0,
252,55625.0,4.0,1.0,
253,9737.0,4.0,1.0,
254,100033413.0,4.0,1.0,
255,10210.0,4.0,1.0,
256,658.0,4.0,1.0,
257,2968.0,4.0,1.0,
258,56241.0,4.0,1.0,
259,26073.0,4.0,1.0,
260,23321.0,4.0,1.0,
261,7094.0,4.0,1.0,607.0
262,1129.0,4.0,1.0,
263,55636.0,4.0,1.0,
264,23092.0,4.0,1.0,633.0
265,9525.0,4.0,1.0,
266,55283.0,4.0,1.0,
267,2566.0,4.0,1.0,
268,6059.0,4.0,1.0,
269,84684.0,4.0,1.0,
270,26469.0,4.0,1.0,
271,3912.0,4.0,1.0,421.2
272,7994.0,4.0,1.0,1226.9
273,148741.0,4.0,1.0,12.1
274,255101.0,4.0,1.0,212.2
275,89890.0,4.0,1.0,
276,388468.0,4.0,1.0,
277,1769.0,4.0,1.0,39.8
278,126668.0,4.0,1.0,
279,83862.0,4.0,1.0,
280,5055.0,4.0,1.0,
281,400986.0,4.0,1.0,
282,65110.0,4.0,1.0,
283,11160.0,4.0,1.0,
284,90134.0,4.0,1.0,
285,84230.0,4.0,1.0,
286,567.0,4.0,1.0,
287,80834.0,4.0,1.0,
288,653440.0,4.0,1.0,
289,306.0,4.0,1.0,
290,57646.0,4.0,1.0,
291,6401.0,4.0,1.0,
292,183.0,4.0,1.0,
293,23126.0,4.0,1.0,89.2
294,9685.0,4.0,1.0,
295,23132.0,4.0,1.0,454.2
296,178.0,4.0,1.0,858.2
297,4301.0,4.0,1.0,778.7
298,643224.0,4.0,1.0,
299,84612.0,4.0,1.0,792.9
300,80013.0,4.0,1.0,
301,8449.0,4.0,1.0,
302,342125.0,4.0,1.0,
303,56474.0,4.0,1.0,918.8
304,10343.0,4.0,1.0,88.2
305,57579.0,4.0,1.0,
306,84059.0,4.0,1.0,171.1
307,644128.0,4.0,1.0,
308,3899.0,4.0,1.0,969.6
309,381.0,4.0,1.0,
310,9575.0,4.0,1.0,
311,57176.0,4.0,1.0,
312,6709.0,4.0,1.0,1070.1
313,155400.0,4.0,1.0,
314,64137.0,4.0,1.0,
315,4756.0,4.0,1.0,664.0
316,84631.0,4.0,1.0,262.6
317,3682.0,4.0,1.0,
318,81492.0,4.0,1.0,
319,3658.0,4.0,1.0,
320,85450.0,4.0,1.0,
321,286128.0,4.0,1.0,
322,9816.0,4.0,1.0,
323,30061.0,4.0,1.0,
324,5393.0,4.0,1.0,
325,55193.0,4.0,1.0,
326,9463.0,4.0,1.0,
327,54465.0,4.0,1.0,
328,23357.0,4.0,1.0,
329,3709.0,4.0,1.0,1229.1
330,259249.0,4.0,1.0,
331,23397.0,4.0,1.0,
332,79699.0,4.0,1.0,
333,3916.0,4.0,1.0,
334,196743.0,4.0,1.0,
335,166815.0,4.0,1.0,
336,127845.0,4.0,1.0,
337,958.0,4.0,1.0,
338,5894.0,4.0,1.0,1641.8
339,23061.0,4.0,1.0,
340,26148.0,4.0,1.0,10.7
341,779.0,4.0,1.0,544.0
342,10809.0,4.0,1.0,
343,996.0,4.0,1.0,1030.3
344,80731.0,4.0,1.0,
345,10411.0,4.0,1.0,
346,79977.0,4.0,1.0,
347,160762.0,4.0,1.0,
348,5198.0,4.0,1.0,
349,780.0,4.0,1.0,785.5
350,4300.0,4.0,1.0,411.1
351,2781.0,4.0,1.0,
352,58504.0,4.0,1.0,
353,2287.0,4.0,1.0,
354,54806.0,4.0,1.0,
355,375387.0,4.0,1.0,
356,23095.0,4.0,1.0,695.2
357,342035.0,4.0,1.0,
358,540.0,4.0,1.0,284.6
359,375323.0,4.0,1.0,
360,259282.0,4.0,1.0,105.4
361,6663.0,4.0,1.0,
362,339976.0,4.0,1.0,26.1
363,338321.0,4.0,1.0,
364,84301.0,4.0,1.0,
365,8408.0,4.0,1.0,
366,23019.0,4.0,1.0,942.9
367,90592.0,4.0,1.0,
368,22982.0,4.0,1.0,692.2
369,8666.0,4.0,1.0,1175.0
370,91544.0,4.0,1.0,
371,23336.0,4.0,1.0,
372,23304.0,4.0,1.0,
373,29780.0,4.0,1.0,
374,341640.0,4.0,1.0,
375,115861.0,4.0,1.0,
376,10102.0,4.0,1.0,
377,6326.0,4.0,1.0,
378,10363.0,4.0,1.0,
379,55040.0,4.0,1.0,
380,2153.0,4.0,1.0,956.1
381,153328.0,4.0,1.0,
382,83478.0,4.0,1.0,
383,1770.0,4.0,1.0,178.0
384,57609.0,4.0,1.0,
385,1690.0,4.0,1.0,
386,54856.0,4.0,1.0,68.1
387,137735.0,4.0,1.0,
388,219.0,4.0,1.0,1068.4
389,57449.0,4.0,1.0,
390,9742.0,4.0,1.0,593.1
391,100288069.0,4.0,1.0,
392,54768.0,4.0,1.0,
393,9694.0,4.0,1.0,
394,65217.0,4.0,1.0,29.0
395,50650.0,4.0,1.0,
396,50626.0,4.0,1.0,
397,91526.0,4.0,1.0,
398,25878.0,4.0,1.0,554.0
399,81037.0,4.0,1.0,
400,10058.0,4.0,1.0,
401,54839.0,4.0,1.0,
402,22902.0,4.0,1.0,
403,5791.0,4.0,1.0,
404,140738.0,4.0,1.0,
405,84688.0,4.0,1.0,
406,115019.0,4.0,1.0,1.6
407,1006.0,4.0,1.0,80.4
408,5927.0,4.0,1.0,593.2
409,388115.0,4.0,1.0,
410,53905.0,4.0,1.0,506.9
411,5959.0,4.0,1.0,
412,1142.0,4.0,1.0,
413,2562.0,4.0,1.0,759.2
414,64641.0,4.0,1.0,
415,154064.0,4.0,1.0,
416,5903.0,4.0,1.0,1015.5
417,3263.0,4.0,1.0,
418,55680.0,4.0,1.0,
419,5990.0,4.0,1.0,
420,10526.0,4.0,1.0,
421,93627.0,4.0,1.0,
422,51092.0,4.0,1.0,828.0
423,523.0,4.0,1.0,
424,84467.0,4.0,1.0,114.9
425,6336.0,4.0,1.0,215.6
426,187.0,4.0,1.0,
427,2194.0,4.0,1.0,
428,26528.0,4.0,1.0,
429,157680.0,4.0,1.0,
430,53353.0,4.0,1.0,240.8
431,89782.0,4.0,1.0,1.7
432,4175.0,4.0,1.0,
433,1462.0,4.0,1.0,1057.5
434,1954.0,4.0,1.0,283.9
435,8925.0,4.0,1.0,352.5
436,58513.0,4.0,1.0,605.4
437,402117.0,4.0,1.0,
438,51433.0,4.0,1.0,
439,10564.0,4.0,1.0,1125.4
440,151651.0,4.0,1.0,72.1
441,1639.0,4.0,1.0,
442,9179.0,4.0,1.0,
443,5130.0,4.0,1.0,
444,9828.0,4.0,1.0,
445,5789.0,4.0,1.0,892.4
446,171019.0,4.0,1.0,35.0
447,57677.0,4.0,1.0,
448,23090.0,4.0,1.0,
449,8501.0,4.0,1.0,
450,80174.0,4.0,1.0,
451,944.0,4.0,1.0,
452,84033.0,4.0,1.0,189.8
453,593.0,4.0,1.0,
454,9931.0,4.0,1.0,
455,545.0,4.0,1.0,1193.2
456,79726.0,4.0,1.0,146.0
457,1824.0,4.0,1.0,
458,27092.0,4.0,1.0,
459,9732.0,4.0,1.0,637.0
460,8621.0,4.0,1.0,
461,29841.0,4.0,1.0,
462,219995.0,4.0,1.0,
463,83872.0,4.0,1.0,133.8
464,3617.0,4.0,1.0,741.7
465,23352.0,4.0,1.0,828.1
466,432.0,4.0,1.0,
467,5069.0,4.0,1.0,366.3
468,2064.0,4.0,1.0,
469,9612.0,4.0,1.0,737.5
470,84464.0,4.0,1.0,
471,25.0,4.0,1.0,1418.0
472,286749.0,4.0,1.0,
473,83871.0,4.0,1.0,
474,8701.0,4.0,1.0,167.1
475,259230.0,4.0,1.0,
476,442191.0,4.0,1.0,
477,288.0,4.0,1.0,676.2
478,649.0,4.0,1.0,
479,26291.0,4.0,1.0,
480,57188.0,4.0,1.0,83.2
481,7436.0,4.0,1.0,
482,8853.0,4.0,1.0,292.8
483,9235.0,4.0,1.0,
484,2288.0,4.0,1.0,
485,8924.0,4.0,1.0,271.7
486,120586.0,4.0,1.0,
487,284232.0,4.0,1.0,
488,280.0,4.0,1.0,
489,5874.0,4.0,1.0,
490,11173.0,4.0,1.0,200.8
491,28998.0,4.0,1.0,
492,170690.0,4.0,1.0,135.8
493,142685.0,4.0,1.0,
494,80309.0,3.0,1.0,
495,5980.0,3.0,1.0,712.0
496,7267.0,3.0,1.0,288.5
497,29102.0,3.0,1.0,
498,9390.0,3.0,1.0,
499,55777.0,3.0,1.0,
500,57118.0,3.0,1.0,
501,8021.0,3.0,1.0,726.1
502,262.0,3.0,1.0,
503,139285.0,3.0,1.0,
504,10260.0,3.0,1.0,
